"year","disease","sex_label","scenario_id","scenario_short","observed_burden__WHO/Adam (main)","observed_burden__Table 5 PUC","avoidable_burden__WHO/Adam (main)","avoidable_burden__Table 5 PUC","avoidable_burden_low__WHO/Adam (main)","avoidable_burden_low__Table 5 PUC","avoidable_burden_up__WHO/Adam (main)","avoidable_burden_up__Table 5 PUC","pif__WHO/Adam (main)","pif__Table 5 PUC","pif_low__WHO/Adam (main)","pif_low__Table 5 PUC","pif_up__WHO/Adam (main)","pif_up__Table 5 PUC","cells__WHO/Adam (main)","cells__Table 5 PUC","interval_n_sim__WHO/Adam (main)","interval_n_sim__Table 5 PUC","interval_method__WHO/Adam (main)","interval_method__Table 5 PUC","point_inside_joint_interval__WHO/Adam (main)","point_inside_joint_interval__Table 5 PUC"
2012,"Ischaemic Heart Disease","Men","combined_v10_h25","Combined 10/25: no shift",41149.78,41149.78,351.887161381694,765.853969842722,224.676721502238,629.261011837936,513.365134537958,1008.04040444719,0.00855137406279435,0.0186113745891891,0.00545997382008453,0.0152919653966057,0.0124755256173413,0.0244968601155873,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2012,"Ischaemic Heart Disease","Men","combined_v20_h50","Combined 20/50: no shift",41149.78,41149.78,686.430526991998,1273.44819252024,433.954330883267,1054.44014936184,1003.1689620508,1610.7806673249,0.0166812684537317,0.0309466585853008,0.0105457266328828,0.0256244419620674,0.0243784769214028,0.0391443324198793,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2012,"Ischaemic Heart Disease","Men","combined_v30_h50","Combined 30/50: no shift",41149.78,41149.78,650.819681757762,1319.94225793568,418.362412177547,1092.44431239783,947.600990476593,1766.91352115111,0.0158158726913671,0.0320765325582708,0.0101668201428427,0.0265479988568064,0.0230280937219249,0.0429385897361082,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2012,"Ischaemic Heart Disease","Men","combined_v10_h25_rt","Combined 10/25: complete shift",41149.78,41149.78,282.800564926147,763.033682836797,189.693283117312,583.607451035236,410.562132194549,1158.17629417441,0.00687246845368668,0.0185428374790047,0.00460982496424797,0.0141825169183222,0.00997726190017417,0.028145382409685,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2012,"Ischaemic Heart Disease","Men","combined_v20_h50_rt","Combined 20/50: complete shift",41149.78,41149.78,514.677828666916,1148.00585799585,337.658268082547,918.786207115531,752.662615415197,1689.39706404321,0.012507426009736,0.027898225895639,0.00820559108900576,0.022327852229478,0.0182908053315278,0.041054826150789,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2012,"Ischaemic Heart Disease","Men","combined_v30_h50_rt","Combined 30/50: complete shift",41149.78,41149.78,452.804539832609,1132.11696577021,301.96557666824,868.861534665639,677.447518319275,1773.25584781646,0.0110038143541134,0.0275121025135544,0.0073382063444383,0.0211146094745984,0.0164629681694355,0.0430927175750747,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2014,"Ischaemic Heart Disease","Men","baseline","Baseline",46920.25,46920.25,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2014,"Ischaemic Heart Disease","Men","volume_reduction_10","Volume -10%",46920.25,46920.25,32.1377707920453,811.689944540874,-8.64996553208845,444.853049752332,92.4384615989226,1383.57749428979,0.000684944577065239,0.0172993525085837,-0.0001843546343442,0.00948104602495366,0.0019701186928655,0.0294878542695274,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2014,"Ischaemic Heart Disease","Men","volume_reduction_20","Volume -20%",46920.25,46920.25,31.5078719719592,1154.49497795215,-44.6697270790605,592.248723633939,147.130754280044,2040.14729460762,0.000671519695056169,0.0246054737123556,-0.000952035146425274,0.0126224545613874,0.00313576236870102,0.0434811684636723,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2014,"Ischaemic Heart Disease","Men","volume_reduction_30","Volume -30%",46920.25,46920.25,0.994112972063867,1284.72683469669,-104.646587299809,602.965639797201,167.916402536798,2378.27163305549,2.1187290606164e-05,0.0273810739434827,-0.00223030753885175,0.0128508616172591,0.00357876188930788,0.0506875311417882,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2014,"Ischaemic Heart Disease","Men","hed_reduction_10","HED -10%: no shift",46920.25,46920.25,145.032799412772,141.908030014678,84.2568734882589,50.9447306258663,223.472083241273,251.47633975546,0.0030910491613487,0.00302445170293589,0.00179574647382013,0.00108577278735442,0.00476280674636799,0.00535965472808563,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2014,"Ischaemic Heart Disease","Men","hed_reduction_25","HED -25%: no shift",46920.25,46920.25,362.581998531937,354.770075036688,210.642183720639,127.361826564668,558.680208103188,628.690849388648,0.00772762290337193,0.00756112925733958,0.00448936618455015,0.00271443196838611,0.0119070168659201,0.013399136820214,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2014,"Ischaemic Heart Disease","Men","hed_reduction_50","HED -50%: no shift",46920.25,46920.25,725.163997063871,709.540150073381,421.284367441281,254.723653129337,1117.36041620637,1257.38169877729,0.0154552458067438,0.0151222585146793,0.00897873236910036,0.00542886393677222,0.02381403373184,0.026798273640428,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2014,"Ischaemic Heart Disease","Men","hed_reduction_10_rt","HED -10%: complete shift",46920.25,46920.25,127.097766585093,240.404582892312,82.9112891481639,199.426057627094,183.468037825839,306.301445190632,0.00270880412156997,0.00512368503774621,0.00176706835850542,0.00425031958753617,0.00391021015075237,0.00652812901019563,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
2014,"Ischaemic Heart Disease","Men","hed_reduction_25_rt","HED -25%: complete shift",46920.25,46920.25,317.744416462734,601.011457230761,207.278222870419,498.565144067738,458.670094564591,765.753612976582,0.00677201030392495,0.0128092125943651,0.00441767089626375,0.0106257989688405,0.00977552537688079,0.0163203225254891,4,4,10000,10000,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam PIF draws; burden weights fixed","Joint 2.5% and 97.5% quantiles across synchronized Table 5 PUC PIF draws; burden weights fixed",TRUE,TRUE
