"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Intracerebral Haemorrhage","Cardiovascular","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Baseline","45-59",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Baseline","60-65",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Baseline","15-29",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Baseline","30-44",0,0,0,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
