"Cause","Cause group","Scenario","Age group (years)","Total expected avoidable deaths","Joint lower 95% simulation limit","Joint upper 95% simulation limit","Contributing cells","Interval method"
"Lower Respiratory Infection","Other causes","Volume -10%","60-65",3.23426781538879,2.16273735058883,4.72208011095225,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -10%","15-29",0.0365682740871844,0.02948946281316,0.0438383664824855,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -10%","30-44",0.509057172961119,0.42463336828241,0.592564713906886,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -10%","45-59",5.39969243350104,4.4283983750623,6.28254430726712,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -10%","60-65",4.25023553431323,3.22596759423909,5.32034763102114,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -10%","15-29",0.262588285083273,0.212549088263844,0.314687423155695,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -10%","30-44",1.36877136405218,1.1119028724724,1.63197922184784,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -10%","45-59",7.67051585651574,6.13945183328516,9.14213772002454,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -10%","60-65",4.09512098534555,2.97972661458221,5.25893953081822,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -10%","15-29",0.140950420426817,0.115000213989624,0.168308459948332,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -10%","30-44",0.479423109856417,0.37678118625791,0.583557904633345,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -10%","45-59",3.22369980769305,2.58010436338771,3.81913177152803,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -10%","60-65",2.92455908930448,2.1165095444125,3.7779996756472,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -10%","15-29",0.013122208594242,0.00986864167748484,0.0167911582595008,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -10%","30-44",0.27348986540422,0.219573867246165,0.332985064177536,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -10%","45-59",2.00809048172913,1.59603096935691,2.45867271296433,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -10%","60-65",1.26886383701762,0.970240540175396,1.60671011734434,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -10%","15-29",11.9315694851819,10.1438821087055,13.853981366908,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -10%","30-44",13.4620735411583,11.4062994267991,15.6149308431906,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -10%","45-59",11.7169837616166,9.78631437709904,13.8091981112862,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -10%","60-65",3.01597995054601,2.47224088524399,3.64704630433224,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -10%","15-29",0.0680382205945321,0.0434756956953073,0.0965657737470978,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -10%","30-44",0.928236562685694,0.59354204196566,1.29727413998615,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -10%","45-59",6.45777809596972,4.36246304965232,8.57498402342968,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -10%","60-65",3.3744173425597,1.84475238160029,5.15741248266977,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -10%","15-29",1.46974875246789,0.956321684643912,2.86220825331215,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -10%","30-44",5.63276976263957,3.69226500529038,10.6497098854851,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -10%","45-59",16.751034214856,10.4170744200538,34.3678707196112,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -10%","60-65",5.1684194638247,3.10632802610445,11.1893168641889,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -10%","15-29",5.51080650540091,4.40488643400207,6.74967277610945,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -10%","30-44",8.80402642702876,6.96433714756939,10.8004825095985,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -10%","45-59",9.27323999843867,7.32357790866271,11.4384512006199,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -10%","60-65",2.72350938298453,2.12661937501556,3.42412419814559,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -20%","15-29",1.63792281677419,1.11933623011622,2.64351326166347,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -20%","30-44",7.78726433850468,5.58118097734825,11.5769689941882,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -20%","45-59",14.6632541219723,10.2043178123419,22.5180698978102,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -20%","60-65",4.39681296764691,2.81756705768087,7.4225466507022,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -20%","15-29",0.176631821926963,0.160528860294574,0.195310875215608,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -20%","30-44",3.93796582753106,3.59146374386638,4.33782324060494,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -20%","45-59",9.26396752010779,8.37705772299818,10.2427061516718,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -20%","60-65",3.36841416324294,2.96643141048425,3.82736738934014,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -20%","15-29",0.62648011214502,0.513710434666961,0.758968247413897,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -20%","30-44",6.10979063992328,5.0467048582893,7.30302772540433,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -20%","45-59",23.4744003315578,19.1727730784569,28.2566657799236,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -20%","60-65",13.1990228928144,10.1421975006948,16.7065574237161,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -20%","15-29",-0.0326204560323675,-0.0830321361539547,0.0370920432021905,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -20%","30-44",-0.0774895239845891,-0.317743719574547,0.249994943862312,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -20%","45-59",-0.455153675535137,-1.7503763541395,1.25792204384479,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"DM2","Other causes","Volume -20%","60-65",-0.805048287278053,-1.806019026377,0.455307103050024,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -20%","15-29",5.17450962428893,4.1861579534213,6.35397727165173,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -20%","30-44",9.4460645294627,7.6633356076611,11.453847878477,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -20%","45-59",13.8113216961869,11.0684458848252,16.8745845713761,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Epilepsy","Neuropsychiatric","Volume -20%","60-65",4.01528678819671,2.98658763807768,5.22083965404944,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -20%","15-29",1.55888188838053,1.10226780998836,2.03325115542457,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -20%","30-44",8.16918772006193,5.76197306992341,10.608227739833,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -20%","45-59",7.02179712907775,5.26052452111745,8.8291345647561,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"HIV","Other causes","Volume -20%","60-65",0.767931486122989,0.457727691203446,1.08132849812324,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -20%","15-29",0.271682156197643,0.239014774596287,0.309187264487715,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -20%","30-44",2.73425779045716,2.43027227790628,3.07009632787412,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -20%","45-59",15.4242858071038,13.6286372213364,17.333806086913,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Hypertensive Heart Disease","Cardiovascular","Volume -20%","60-65",12.745026867326,10.9239335607791,14.776412362046,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -20%","15-29",21.1103300887715,16.7826112920018,25.9776486186588,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -20%","30-44",25.9216671358522,20.5825535879759,31.6955967947339,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -20%","45-59",16.685840319495,13.1011092040304,20.6908104480878,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intentional Injuries","Injuries","Volume -20%","60-65",3.19506284891374,2.47688335722966,4.0605504353122,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -20%","15-29",2.42489542709112,1.91278039440936,3.17380217001817,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -20%","30-44",12.7902505229918,10.206033614212,16.236481301329,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -20%","45-59",39.4446394458231,31.1227835845274,50.7019608224932,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Intracerebral Haemorrhage","Cardiovascular","Volume -20%","60-65",17.1870654427502,12.8359110299652,23.0039859930822,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -20%","15-29",-0.038930708377939,-0.127962109575798,0.313779164469158,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -20%","30-44",-0.250558369774591,-1.01898808855872,2.05903563917951,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -20%","45-59",2.43313081682856,-2.9945183514006,13.6086952161217,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Heart Disease","Cardiovascular","Volume -20%","60-65",-3.63580519782687,-7.43993665451934,3.56729392472871,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -20%","15-29",0.162245215897954,0.0952418780362538,0.746729603025734,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -20%","30-44",0.865134511629012,0.524318938326869,1.84446116465185,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -20%","45-59",5.68811160241977,3.67250188892979,9.99564328082555,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Ischaemic Stroke","Cardiovascular","Volume -20%","60-65",4.18371304870327,2.40955937280955,7.36532848600839,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Volume -20%","30-44",0.388253573167935,0.317783684626864,0.463491945347756,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Volume -20%","45-59",4.1517988400834,3.35187050629154,4.99942708948868,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Larynx Cancer","Cancer","Volume -20%","60-65",3.32385186837282,2.4984355372233,4.25228879335396,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -20%","15-29",0.0966152121441176,0.0746299966076933,0.123185591515767,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -20%","30-44",0.604413307239613,0.46854223267637,0.770283604705275,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -20%","45-59",4.73083178558147,3.62238205097697,6.07838643403295,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cancer","Cancer","Volume -20%","60-65",3.55481403212604,2.62238446914525,4.76672058573948,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -20%","15-29",4.9767217599567,3.64210943815438,6.49721816583636,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -20%","30-44",147.959557209331,109.034685786699,190.740492114528,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -20%","45-59",670.870755227879,486.831976248732,862.060378788374,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Liver Cirrhosis","Other causes","Volume -20%","60-65",183.101051810889,115.872658290828,268.417319453753,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -20%","15-29",0.991923786994898,0.705102332646548,1.36481024588033,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -20%","30-44",4.48104906606654,3.11059041366653,6.25919814487876,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -20%","45-59",12.8306547453552,8.7659475428412,18.2405718780985,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Lower Respiratory Infection","Other causes","Volume -20%","60-65",6.39940982202554,4.28289082448011,9.2780348439929,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -20%","15-29",0.0712249945676564,0.0576191229258739,0.0851133370640409,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -20%","30-44",0.990111544645911,0.828567568018315,1.14871370912467,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -20%","45-59",10.4526448510307,8.60095657197718,12.1363081724744,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oesophagus Cancer","Cancer","Volume -20%","60-65",8.26054150509877,6.30017988992646,10.3081072343107,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -20%","15-29",0.503978533713533,0.410046665368387,0.600205311409025,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -20%","30-44",2.63161953268177,2.14745851298929,3.12506991804419,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -20%","45-59",14.6618868626871,11.7836013385676,17.3844042888556,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Oral Cavity and Pharynx Cancer","Cancer","Volume -20%","60-65",7.86037156703241,5.75812631057698,10.041181350941,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -20%","15-29",0.27164193355881,0.222192597050356,0.322888254091145,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -20%","30-44",0.920827963159972,0.726843648871315,1.11629082216653,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -20%","45-59",6.16307205467859,4.95375935182718,7.26745942156915,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Other Pharyngeal Cancer","Cancer","Volume -20%","60-65",5.60829377450651,4.08647691982374,7.21524754170156,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -20%","15-29",0.0261516715939664,0.019679337803809,0.0334332467366856,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -20%","30-44",0.544613055196835,0.437585946312742,0.662293554864291,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -20%","45-59",3.99590111139482,3.17899137149227,4.88630576921493,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Pancreatic Cancer","Cancer","Volume -20%","60-65",2.52696050798548,1.93462608464422,3.19574672177409,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -20%","15-29",23.7002684813516,20.1666723442619,27.4868001978657,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -20%","30-44",26.7310431365647,22.6649049138467,30.9745764473138,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -20%","45-59",23.2345907049072,19.4211402033516,27.3425563458959,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Road Injuries","Injuries","Volume -20%","60-65",5.98654476265984,4.91291549826188,7.23212035423026,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -20%","15-29",0.124818665075993,0.0779063080380699,0.178921932158444,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -20%","30-44",1.70316246893058,1.06206182294299,2.40383185294639,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -20%","45-59",11.8308017253847,7.91802097770006,15.8298470555006,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Stomach Cancer","Cancer","Volume -20%","60-65",6.1881173498654,3.32984363261906,9.51048156869476,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -20%","15-29",2.80161703521818,1.83211304978957,5.18234356035649,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -20%","30-44",10.6866270291706,7.03700970693625,19.2072648668349,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -20%","45-59",31.4461852842958,19.699074083925,61.1783827688286,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Tuberculosis","Other causes","Volume -20%","60-65",9.7889689883671,5.93280474566041,20.0184753039669,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -20%","15-29",10.9719523753734,8.77336735229717,13.4237003348947,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -20%","30-44",17.5232419076792,13.8683941750666,21.4742151656898,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -20%","45-59",18.4417046063811,14.571888264142,22.7197821258625,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Unintentional Injuries","Injuries","Volume -20%","60-65",5.4197690161972,4.23525243353761,6.80665238524973,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -30%","15-29",2.30818271561056,1.58534906226332,3.66611204127755,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -30%","30-44",11.0392651077963,7.97214214739587,16.1149553683367,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -30%","45-59",20.6099114907119,14.4248837795058,31.0663853489863,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Acute Pancreatitis","Other causes","Volume -30%","60-65",6.20890437665521,3.99911957618792,10.2929100659399,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -30%","15-29",0.274397985311429,0.24969738442683,0.303042197063029,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -30%","30-44",6.09962478006686,5.56061997101073,6.71578985131052,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -30%","45-59",14.3041866476203,12.9279787310237,15.8020505029303,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Breast Cancer","Cancer","Volume -30%","60-65",5.20034973006964,4.5669864008314,5.9096661786145,7,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -30%","15-29",0.925888863442381,0.761170344998138,1.11844524613527,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -30%","30-44",9.03320473414625,7.47777029789581,10.7628590058055,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
"Colon and rectum Cancer","Cancer","Volume -30%","45-59",34.6195213966511,28.3402468195619,41.5311750996904,14,"Joint 2.5% and 97.5% quantiles across synchronized WHO/Adam (main) PIF draws; burden weights fixed"
