Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2012	Pancreatic Cancer	Male	60+	0,08	0,072	0,087	400	32	29	35
2014	Pancreatic Cancer	Male	15-29	0,07	0,061	0,08	0	0	0	0
2014	Pancreatic Cancer	Male	30-44	0,073	0,062	0,083	13	1	1	1
2014	Pancreatic Cancer	Male	45-59	0,086	0,076	0,097	134	12	10	13
2014	Pancreatic Cancer	Male	60+	0,084	0,075	0,093	482	40	36	45
2016	Pancreatic Cancer	Male	15-29	0,073	0,063	0,082	2	0	0	0
2016	Pancreatic Cancer	Male	30-44	0,077	0,068	0,086	18	1	1	2
2016	Pancreatic Cancer	Male	45-59	0,084	0,075	0,093	115	10	9	11
2016	Pancreatic Cancer	Male	60+	0,092	0,085	0,099	527	48	45	52
2018	Pancreatic Cancer	Male	15-29	0,072	0,064	0,081	0	0	0	0
2018	Pancreatic Cancer	Male	30-44	0,075	0,065	0,084	14	1	1	1
2018	Pancreatic Cancer	Male	45-59	0,083	0,074	0,092	123	10	9	11
2018	Pancreatic Cancer	Male	60+	0,093	0,085	0,101	564	52	48	57
2020	Pancreatic Cancer	Male	15-29	0,077	0,068	0,086	0	0	0	0
2020	Pancreatic Cancer	Male	30-44	0,082	0,071	0,092	13	1	1	1
2020	Pancreatic Cancer	Male	45-59	0,086	0,076	0,095	132	11	10	13
2020	Pancreatic Cancer	Male	60+	0,096	0,087	0,104	575	55	50	60
2022	Pancreatic Cancer	Male	15-29	0,078	0,07	0,085	1	0	0	0
2022	Pancreatic Cancer	Male	30-44	0,083	0,074	0,093	18	1	1	2
2022	Pancreatic Cancer	Male	45-59	0,089	0,081	0,098	137	12	11	13
2022	Pancreatic Cancer	Male	60+	0,1	0,092	0,107	655	66	60	70
2024	Pancreatic Cancer	Male	15-29	0,08	0,073	0,087	1	0	0	0
2024	Pancreatic Cancer	Male	30-44	0,083	0,074	0,092	21	2	2	2
2024	Pancreatic Cancer	Male	45-59	0,087	0,079	0,096	105	9	8	10
2024	Pancreatic Cancer	Male	60+	0,103	0,096	0,11	721	74	69	79
2012	Stomach Cancer	Female	15-29	0,127	0,116	0,138	4	1	0	1
2012	Stomach Cancer	Female	30-44	0,137	0,126	0,147	57	8	7	8
2012	Stomach Cancer	Female	45-59	0,127	0,116	0,137	133	17	15	18
2012	Stomach Cancer	Female	60+	0,127	0,116	0,137	979	124	114	134
2014	Stomach Cancer	Female	15-29	0,137	0,125	0,148	8	1	1	1
2014	Stomach Cancer	Female	30-44	0,14	0,129	0,151	35	5	5	5
2014	Stomach Cancer	Female	45-59	0,143	0,132	0,154	146	21	19	22
2014	Stomach Cancer	Female	60+	0,133	0,123	0,143	892	119	110	128
2016	Stomach Cancer	Female	15-29	0,13	0,119	0,141	4	1	0	1
2016	Stomach Cancer	Female	30-44	0,153	0,142	0,163	43	7	6	7
2016	Stomach Cancer	Female	45-59	0,156	0,146	0,166	148	23	22	25
2016	Stomach Cancer	Female	60+	0,159	0,149	0,169	902	143	134	152
2018	Stomach Cancer	Female	15-29	0,14	0,129	0,151	3	0	0	0
2018	Stomach Cancer	Female	30-44	0,146	0,136	0,156	32	5	4	5
2018	Stomach Cancer	Female	45-59	0,165	0,155	0,175	134	22	21	23
2018	Stomach Cancer	Female	60+	0,165	0,155	0,175	843	139	131	148
2020	Stomach Cancer	Female	15-29	0,153	0,142	0,164	3	0	0	0
2020	Stomach Cancer	Female	30-44	0,15	0,139	0,161	41	6	6	7
2020	Stomach Cancer	Female	45-59	0,162	0,152	0,172	138	22	21	24
2020	Stomach Cancer	Female	60+	0,174	0,165	0,184	873	152	144	161
2022	Stomach Cancer	Female	15-29	0,153	0,142	0,163	1	0	0	0
2022	Stomach Cancer	Female	30-44	0,156	0,145	0,166	41	6	6	7
2022	Stomach Cancer	Female	45-59	0,168	0,158	0,178	142	24	22	25
2022	Stomach Cancer	Female	60+	0,168	0,159	0,178	877	147	139	156
2024	Stomach Cancer	Female	15-29	0,14	0,129	0,15	3	0	0	0
2024	Stomach Cancer	Female	30-44	0,159	0,149	0,169	46	7	7	8
2024	Stomach Cancer	Female	45-59	0,159	0,149	0,169	128	20	19	22
2024	Stomach Cancer	Female	60+	0,168	0,159	0,178	864	145	137	154
2012	Stomach Cancer	Male	15-29	0,047	0,032	0,062	4	0	0	0
2012	Stomach Cancer	Male	30-44	0,055	0,04	0,07	49	3	2	3
2012	Stomach Cancer	Male	45-59	0,066	0,051	0,08	351	23	18	28
2012	Stomach Cancer	Male	60+	0,071	0,059	0,082	1777	126	105	146
2014	Stomach Cancer	Male	15-29	0,058	0,042	0,074	6	0	0	0
2014	Stomach Cancer	Male	30-44	0,059	0,041	0,077	47	3	2	4
2014	Stomach Cancer	Male	45-59	0,076	0,059	0,091	341	26	20	31
2014	Stomach Cancer	Male	60+	0,074	0,061	0,087	1790	132	109	156
2016	Stomach Cancer	Male	15-29	0,06	0,045	0,074	4	0	0	0
2016	Stomach Cancer	Male	30-44	0,064	0,05	0,079	56	4	3	4
2016	Stomach Cancer	Male	45-59	0,074	0,06	0,088	339	25	20	30
2016	Stomach Cancer	Male	60+	0,084	0,072	0,094	1754	147	126	165
2018	Stomach Cancer	Male	15-29	0,061	0,047	0,074	4	0	0	0
2018	Stomach Cancer	Male	30-44	0,062	0,046	0,077	38	2	2	3
2018	Stomach Cancer	Male	45-59	0,072	0,058	0,086	351	25	20	30
2018	Stomach Cancer	Male	60+	0,084	0,071	0,096	1760	148	125	169
2020	Stomach Cancer	Male	15-29	0,066	0,052	0,08	3	0	0	0
2020	Stomach Cancer	Male	30-44	0,068	0,05	0,085	59	4	3	5
2020	Stomach Cancer	Male	45-59	0,075	0,06	0,09	312	23	19	28
2020	Stomach Cancer	Male	60+	0,087	0,074	0,099	1758	153	130	174
2022	Stomach Cancer	Male	15-29	0,068	0,056	0,08	3	0	0	0
2022	Stomach Cancer	Male	30-44	0,071	0,055	0,086	43	3	2	4
2022	Stomach Cancer	Male	45-59	0,08	0,066	0,093	290	23	19	27
2022	Stomach Cancer	Male	60+	0,092	0,081	0,103	1751	161	142	180
2024	Stomach Cancer	Male	15-29	0,071	0,06	0,082	5	0	0	0
2024	Stomach Cancer	Male	30-44	0,071	0,057	0,085	47	3	3	4
2024	Stomach Cancer	Male	45-59	0,079	0,066	0,091	242	19	16	22
2024	Stomach Cancer	Male	60+	0,097	0,086	0,107	1721	167	148	184
