Year	disease	sex	age_group	AAF	LL	UL	muertes	att_mort	att_mort_low	att_mort_up
2024	Colorectal Cancer	Male	15-29	0,317	0,3	0,333	8	3	2	3
2024	Colorectal Cancer	Male	30-44	0,32	0,302	0,337	61	20	18	21
2024	Colorectal Cancer	Male	45-59	0,336	0,319	0,352	296	99	94	104
2024	Colorectal Cancer	Male	60+	0,383	0,37	0,397	1657	635	613	658
2012	Larynx Cancer	Female	15-29	0,103	0,091	0,117	0	0	0	0
2012	Larynx Cancer	Female	30-44	0,09	0,082	0,098	0	0	0	0
2012	Larynx Cancer	Female	45-59	0,083	0,075	0,091	3	0	0	0
2012	Larynx Cancer	Female	60+	0,077	0,071	0,083	21	2	1	2
2014	Larynx Cancer	Female	15-29	0,118	0,103	0,135	0	0	0	0
2014	Larynx Cancer	Female	30-44	0,111	0,098	0,125	1	0	0	0
2014	Larynx Cancer	Female	45-59	0,105	0,094	0,117	3	0	0	0
2014	Larynx Cancer	Female	60+	0,092	0,083	0,101	23	2	2	2
2016	Larynx Cancer	Female	15-29	0,112	0,098	0,127	0	0	0	0
2016	Larynx Cancer	Female	30-44	0,107	0,097	0,118	0	0	0	0
2016	Larynx Cancer	Female	45-59	0,098	0,09	0,106	3	0	0	0
2016	Larynx Cancer	Female	60+	0,093	0,087	0,1	15	1	1	2
2018	Larynx Cancer	Female	15-29	0,108	0,096	0,122	0	0	0	0
2018	Larynx Cancer	Female	30-44	0,106	0,095	0,118	0	0	0	0
2018	Larynx Cancer	Female	45-59	0,1	0,093	0,108	2	0	0	0
2018	Larynx Cancer	Female	60+	0,095	0,089	0,101	22	2	2	2
2020	Larynx Cancer	Female	15-29	0,122	0,108	0,137	0	0	0	0
2020	Larynx Cancer	Female	30-44	0,118	0,105	0,133	0	0	0	0
2020	Larynx Cancer	Female	45-59	0,112	0,102	0,123	3	0	0	0
2020	Larynx Cancer	Female	60+	0,105	0,098	0,113	13	1	1	1
2022	Larynx Cancer	Female	15-29	0,118	0,105	0,132	0	0	0	0
2022	Larynx Cancer	Female	30-44	0,117	0,104	0,13	1	0	0	0
