Year,disease,sex,age_group,AAF_pipeline,LL_pipeline,UL_pipeline,muertes_pipeline,att_mort_pipeline,att_mort_low_pipeline,att_mort_up_pipeline,AAF_jrt,LL_jrt,UL_jrt,muertes_jrt,att_mort_jrt,att_mort_low_jrt,att_mort_up_jrt,diff_AAF,diff_muertes,diff_att_mort
2020,Oral Cavity and Pharynx Cancer,Female,60+,0.13,-0.15,0.4,68,9,-10,27,0.133,0.125,0.142,68,9,8,10,-0.0030000000000000027,0,0
2020,Oral Cavity and Pharynx Cancer,Male,60+,0.29,0.12,0.46,155,45,19,71,0.288,0.252,0.327,155,45,39,51,0.0020000000000000018,0,0
2022,Oral Cavity and Pharynx Cancer,Female,60+,0.12,-0.14,0.39,103,12,-14,40,0.122,0.114,0.13,103,13,12,13,-0.0020000000000000018,0,-1
2022,Oral Cavity and Pharynx Cancer,Male,60+,0.28,0.1,0.47,187,52,19,88,0.282,0.245,0.321,187,53,46,60,-0.0019999999999999463,0,-1
2024,Oral Cavity and Pharynx Cancer,Female,60+,0.12,-0.14,0.39,111,13,-16,43,0.117,0.109,0.126,111,13,12,14,0.002999999999999989,0,0
2024,Oral Cavity and Pharynx Cancer,Male,60+,0.27,0.07,0.47,170,46,12,80,0.265,0.231,0.303,170,45,39,52,0.0050000000000000044,0,1
2012,Pancreatic Cancer,Female,60+,0.13,0.09,0.17,559,73,50,95,0.129,0.12,0.138,559,72,67,77,0.0010000000000000009,0,1
2012,Pancreatic Cancer,Male,60+,0.08,0.05,0.11,400,32,20,44,0.08,0.072,0.087,400,32,29,35,0,0,0
2014,Pancreatic Cancer,Female,60+,0.14,0.09,0.19,598,84,54,114,0.137,0.128,0.147,598,82,77,88,0.0030000000000000027,0,2
2014,Pancreatic Cancer,Male,60+,0.08,0.05,0.12,482,39,24,58,0.084,0.075,0.093,482,40,36,45,-0.0040000000000000036,0,-1
2016,Pancreatic Cancer,Female,60+,0.16,0.11,0.22,686,110,75,151,0.162,0.152,0.171,686,111,104,117,-0.0020000000000000018,0,-1
2016,Pancreatic Cancer,Male,60+,0.09,0.05,0.13,527,47,26,69,0.092,0.085,0.099,527,48,45,52,-0.0020000000000000018,0,-1
2018,Pancreatic Cancer,Female,60+,0.17,0.11,0.22,660,112,73,145,0.167,0.158,0.177,660,110,104,117,0.0030000000000000027,0,2
2018,Pancreatic Cancer,Male,60+,0.09,0.05,0.13,564,51,28,73,0.093,0.085,0.101,564,52,48,57,-0.0030000000000000027,0,-1
2020,Pancreatic Cancer,Female,60+,0.18,0.12,0.23,772,139,93,178,0.177,0.168,0.186,772,137,130,144,0.0030000000000000027,0,2
2020,Pancreatic Cancer,Male,60+,0.1,0.06,0.14,575,58,34,81,0.096,0.087,0.104,575,55,50,60,0.0040000000000000036,0,3
2022,Pancreatic Cancer,Female,60+,0.17,0.12,0.22,830,141,100,183,0.171,0.161,0.18,830,142,134,149,-0.0010000000000000009,0,-1
2022,Pancreatic Cancer,Male,60+,0.1,0.06,0.14,655,66,39,92,0.1,0.092,0.107,655,66,60,70,0,0,0
2024,Pancreatic Cancer,Female,60+,0.17,0.12,0.22,922,157,111,203,0.17,0.161,0.179,922,157,148,165,0,0,0
2024,Pancreatic Cancer,Male,60+,0.1,0.06,0.15,721,72,43,108,0.103,0.096,0.11,721,74,69,79,-0.002999999999999989,0,-2
2012,Stomach Cancer,Female,60+,0.13,0.08,0.17,979,127,78,166,0.127,0.116,0.137,979,124,114,134,0.0030000000000000027,0,3
2012,Stomach Cancer,Male,60+,0.07,0.04,0.11,1777,124,71,195,0.071,0.059,0.082,1777,126,105,146,-9.99999999999987e-4,0,-2
2014,Stomach Cancer,Female,60+,0.13,0.09,0.18,892,116,80,161,0.133,0.123,0.143,892,119,110,128,-0.0030000000000000027,0,-3
2014,Stomach Cancer,Male,60+,0.07,0.04,0.11,1790,125,72,197,0.074,0.061,0.087,1790,132,109,156,-0.00399999999999999,0,-7
2016,Stomach Cancer,Female,60+,0.16,0.1,0.21,902,144,90,189,0.159,0.149,0.169,902,143,134,152,0.0010000000000000009,0,1
2016,Stomach Cancer,Male,60+,0.08,0.04,0.13,1754,140,70,228,0.084,0.072,0.094,1754,147,126,165,-0.0040000000000000036,0,-7
2018,Stomach Cancer,Female,60+,0.17,0.11,0.22,843,143,93,185,0.165,0.155,0.175,843,139,131,148,0.0050000000000000044,0,4
2018,Stomach Cancer,Male,60+,0.08,0.04,0.12,1760,141,70,211,0.084,0.071,0.096,1760,148,125,169,-0.0040000000000000036,0,-7
2020,Stomach Cancer,Female,60+,0.17,0.12,0.23,873,148,105,201,0.174,0.165,0.184,873,152,144,161,-0.003999999999999976,0,-4
2020,Stomach Cancer,Male,60+,0.09,0.04,0.13,1758,158,70,229,0.087,0.074,0.099,1758,153,130,174,0.0030000000000000027,0,5
2022,Stomach Cancer,Female,60+,0.17,0.11,0.22,877,149,96,193,0.168,0.159,0.178,877,147,139,156,0.0020000000000000018,0,2
2022,Stomach Cancer,Male,60+,0.09,0.05,0.14,1751,158,88,245,0.092,0.081,0.103,1751,161,142,180,-0.0020000000000000018,0,-3
2024,Stomach Cancer,Female,60+,0.17,0.12,0.22,864,147,104,190,0.168,0.159,0.178,864,145,137,154,0.0020000000000000018,0,2
2024,Stomach Cancer,Male,60+,0.1,0.05,0.14,1721,172,86,241,0.097,0.086,0.107,1721,167,148,184,0.0030000000000000027,0,5
