Year,disease,sex,age_group,AAF_pipeline,LL_pipeline,UL_pipeline,muertes_pipeline,att_mort_pipeline,att_mort_low_pipeline,att_mort_up_pipeline,AAF_jrt,LL_jrt,UL_jrt,muertes_jrt,att_mort_jrt,att_mort_low_jrt,att_mort_up_jrt,diff_AAF,diff_muertes,diff_att_mort
2012,Colorectal Cancer,Male,45-59,0.30219605053544557,0.2648265234135257,0.33941827101369915,149,45,39,51,0.3,0.28,0.318,149,45,42,47,0.0021960505354455817,0,0
2012,Colorectal Cancer,Male,60+,0.3120747297390572,0.2671274617595409,0.3572040052234952,825,257,220,295,0.314,0.297,0.331,825,259,245,273,-0.0019252702609428018,0,-2
2014,Colorectal Cancer,Female,15-29,0.048861253846313575,-0.04822702172099014,0.1490699018456709,2,0,-0,0,0.046,0.038,0.055,2,0,0,0,0.002861253846313576,0,0
2014,Colorectal Cancer,Female,30-44,0.05163141616320066,-0.04591857355142587,0.15602802362012647,40,2,-2,6,0.043,0.035,0.05,40,2,1,2,0.008631416163200664,0,0
2014,Colorectal Cancer,Female,45-59,0.041253159154460046,-0.05949772618114031,0.1497363310496298,190,8,-11,28,0.039,0.033,0.046,190,7,6,9,0.0022531591544600466,0,1
2014,Colorectal Cancer,Female,60+,0.03668170934732753,-0.059202137535833574,0.14151326526804375,1000,37,-59,142,0.033,0.029,0.038,1000,33,29,38,0.003681709347327526,0,4
2014,Colorectal Cancer,Male,15-29,0.2832124713955213,0.2474196222410498,0.3185897840188066,9,3,2,3,0.278,0.258,0.297,9,3,2,3,0.005212471395521279,0,0
2014,Colorectal Cancer,Male,30-44,0.2893948194017554,0.2520428272386944,0.3271772004981973,39,11,10,13,0.283,0.262,0.303,39,11,10,12,0.006394819401755403,0,0
2014,Colorectal Cancer,Male,45-59,0.3276848704727767,0.2879977821027816,0.3666413924135695,179,59,52,66,0.328,0.309,0.346,179,59,55,62,-3.1512952722329013e-4,0,0
2014,Colorectal Cancer,Male,60+,0.3250224084121395,0.2805404309583992,0.36818161404881916,978,318,274,360,0.325,0.307,0.342,978,318,300,334,2.2408412139462985e-5,0,0
2016,Colorectal Cancer,Female,15-29,0.04618275737707466,-0.04236344662084306,0.1474055722671497,2,0,-0,0,0.044,0.036,0.052,2,0,0,0,0.0021827573770746636,0,0
2016,Colorectal Cancer,Female,30-44,0.049933801242535186,-0.05899541024634012,0.16039622743389362,33,2,-2,5,0.04,0.034,0.045,33,1,1,1,0.009933801242535185,0,1
2016,Colorectal Cancer,Female,45-59,0.03542878938746669,-0.0810612467207034,0.1556257620261234,181,6,-15,28,0.034,0.03,0.039,181,6,5,7,0.0014287893874666904,0,0
2016,Colorectal Cancer,Female,60+,0.0334363250951664,-0.08446467121015658,0.15436127729523652,1110,37,-94,171,0.032,0.029,0.035,1110,36,32,39,0.0014363250951663978,0,1
2016,Colorectal Cancer,Male,15-29,0.2872872279696669,0.2524002668405915,0.3218518484424139,8,2,2,3,0.286,0.267,0.305,8,2,2,2,0.0012872279696669042,0,0
2016,Colorectal Cancer,Male,30-44,0.3060553724201118,0.2701990398746564,0.34254314854005796,56,17,15,19,0.303,0.284,0.32,56,17,16,18,0.003055372420111835,0,0
2016,Colorectal Cancer,Male,45-59,0.3298688470454907,0.29122735023376295,0.36777200867104587,200,66,58,74,0.326,0.308,0.343,200,65,62,69,0.0038688470454906754,0,1
2016,Colorectal Cancer,Male,60+,0.3519145134843906,0.30747884494699695,0.39488781566934605,1004,353,309,396,0.354,0.338,0.368,1004,355,339,369,-0.0020854865156093583,0,-2
2018,Colorectal Cancer,Female,15-29,0.040785754625664854,-0.058067080100226806,0.1462346861156578,2,0,-0,0,0.041,0.034,0.048,2,0,0,0,-2.14245374335148e-4,0,0
2018,Colorectal Cancer,Female,30-44,0.03879356617073902,-0.06716312747773429,0.1506894266117114,54,2,-4,8,0.04,0.034,0.046,54,2,2,2,-0.0012064338292609791,0,0
2018,Colorectal Cancer,Female,45-59,0.033298580881212826,-0.09394183122873362,0.15955930717907527,215,7,-20,34,0.035,0.031,0.039,215,8,7,8,-0.0017014191187871772,0,-1
2018,Colorectal Cancer,Female,60+,0.03302814931074893,-0.09248555010233189,0.1597776096732915,1118,37,-103,179,0.032,0.029,0.036,1118,36,32,40,0.0010281493107489326,0,1
2018,Colorectal Cancer,Male,15-29,0.2867770082042102,0.25173090872084714,0.3224553566531289,8,2,2,3,0.288,0.27,0.305,8,2,2,2,-0.001222991795789774,0,0
2018,Colorectal Cancer,Male,30-44,0.2973586536748443,0.2600471140746203,0.3347826300725626,42,12,11,14,0.294,0.275,0.312,42,12,12,13,0.0033586536748443363,0,0
2018,Colorectal Cancer,Male,45-59,0.3200949693942473,0.2838426723875207,0.35646627644174556,223,71,63,79,0.32,0.302,0.337,223,71,67,75,9.496939424730177e-5,0,0
2018,Colorectal Cancer,Male,60+,0.3459479675026695,0.30129760470589395,0.39037379339547673,1161,402,350,453,0.353,0.337,0.368,1161,410,391,427,-0.007052032497330496,0,-8
2020,Colorectal Cancer,Female,15-29,0.04872932086294775,-0.06251545507968913,0.16285870952646117,6,0,-0,1,0.047,0.039,0.056,6,0,0,0,0.0017293208629477475,0,0
2020,Colorectal Cancer,Female,30-44,0.04368509582651673,-0.06371235267676817,0.155043444309889,48,2,-3,7,0.045,0.038,0.053,48,2,2,3,-0.001314904173483268,0,0
2020,Colorectal Cancer,Female,45-59,0.04621504339895857,-0.07230388287688151,0.17007300482755036,232,11,-17,39,0.041,0.035,0.047,232,10,8,11,0.00521504339895857,0,1
2020,Colorectal Cancer,Female,60+,0.038977615328352776,-0.09213589945596534,0.17071529229287627,1248,49,-115,213,0.037,0.033,0.041,1248,46,41,51,0.0019776153283527775,0,3
2020,Colorectal Cancer,Male,15-29,0.3034828748106353,0.2649052357845718,0.34277809512686397,4,1,1,1,0.303,0.285,0.321,4,1,1,1,4.8287481063530313e-4,0,0
2020,Colorectal Cancer,Male,30-44,0.31272273038024934,0.2738027032917302,0.3513159115609284,55,17,15,19,0.312,0.292,0.331,55,17,16,18,7.227303802493368e-4,0,0
2020,Colorectal Cancer,Male,45-59,0.3327680839512689,0.2915744065914014,0.3720310832164266,226,75,66,84,0.329,0.311,0.346,226,74,70,78,0.0037680839512688746,0,1
2020,Colorectal Cancer,Male,60+,0.3582464719269738,0.31382286303638224,0.40085865234747964,1342,481,421,538,0.36,0.344,0.376,1342,483,462,505,-0.0017535280730262004,0,-2
2022,Colorectal Cancer,Female,15-29,0.04699140196960918,-0.06088317812791573,0.16046769237576985,6,0,-0,1,0.045,0.037,0.052,6,0,0,0,0.0019914019696091814,0,0
2022,Colorectal Cancer,Female,30-44,0.05061382215308293,-0.06102812472376702,0.16612030320819404,66,3,-4,11,0.044,0.037,0.051,66,3,2,3,0.006613822153082934,0,0
2022,Colorectal Cancer,Female,45-59,0.03886536647340076,-0.08545220909090406,0.16886299255929663,237,9,-20,40,0.037,0.033,0.042,237,9,8,10,0.0018653664734007633,0,0
2022,Colorectal Cancer,Female,60+,0.035550956022185165,-0.08821893130852776,0.16174170710078872,1400,50,-124,226,0.033,0.03,0.037,1400,46,42,52,0.0025509560221851635,0,4
2022,Colorectal Cancer,Male,15-29,0.31019325091324357,0.2742756260854556,0.3456645082509056,7,2,2,2,0.308,0.291,0.325,7,2,2,2,0.002193250913243572,0,0
2022,Colorectal Cancer,Male,30-44,0.31758511681759066,0.28199637839039365,0.3528507263012858,54,17,15,19,0.32,0.301,0.337,54,17,16,18,-0.002414883182409344,0,0
2022,Colorectal Cancer,Male,45-59,0.3416734768902634,0.3040694749502313,0.3778780546384047,293,100,89,111,0.341,0.324,0.358,293,100,95,105,6.734768902633692e-4,0,0
2022,Colorectal Cancer,Male,60+,0.37378285315167237,0.3335745410970387,0.4138931180258786,1457,545,486,603,0.373,0.357,0.387,1457,543,520,564,7.828531516723691e-4,0,2
2024,Colorectal Cancer,Female,15-29,0.04176950675116373,-0.0574582772482363,0.14622424581438276,3,0,-0,0,0.037,0.031,0.043,3,0,0,0,0.004769506751163735,0,0
2024,Colorectal Cancer,Female,30-44,0.04521662430948016,-0.0703285716038776,0.16369377280813655,62,3,-4,10,0.044,0.037,0.051,62,3,2,3,0.0012166243094801632,0,0
2024,Colorectal Cancer,Female,45-59,0.0366095815266931,-0.07801067068898553,0.15669819669712234,251,9,-20,39,0.036,0.031,0.041,251,9,8,10,6.095815266931037e-4,0,0
2024,Colorectal Cancer,Female,60+,0.03508025964188574,-0.09109178228914144,0.16493240998282213,1590,56,-145,262,0.032,0.028,0.035,1590,51,45,56,0.003080259641885741,0,5
2024,Colorectal Cancer,Male,15-29,0.31422062645976623,0.2761753375902878,0.35375683625230747,8,3,2,3,0.317,0.3,0.333,8,3,2,3,-0.002779373540233776,0,0
2024,Colorectal Cancer,Male,30-44,0.3232102134229851,0.28638484429991673,0.3602982819233803,61,20,17,22,0.32,0.302,0.337,61,20,18,21,0.0032102134229851087,0,0
